GROUP,SUBJECT,PHASE,TRIAL,TARGET,ROT,DIR,HA_INITIAL,HA_END,CA_END
1,32,Baseline,3,0,0,CCW,4.419346984,4.435227378,-4.435227378
1,32,Baseline,4,0,0,CCW,4.349320052,4.579896441,-4.579896441
1,32,Baseline,5,0,0,CCW,3.251135225,3.414021683,-3.414021683
1,32,Baseline,6,0,0,CCW,-0.535296431,-0.626145137,0.626145137
1,32,Baseline,7,0,0,CCW,-1.496030734,-1.422320882,1.422320882
1,32,Baseline,8,0,0,CCW,3.33069369,2.733179163,-2.733179163
1,32,Baseline,9,0,0,CCW,-1.898086325,-1.608658758,1.608658758
1,32,Baseline,10,0,0,CCW,-3.002099279,-3.160407783,3.160407783
1,33,Baseline,1,0,0,CCW,2.301750321,2.451353537,-2.451353537
1,33,Baseline,2,0,0,CCW,1.986856999,2.190456153,-2.190456153
1,33,Baseline,3,0,0,CCW,-4.101204197,-3.989827707,3.989827707
1,33,Baseline,4,0,0,CCW,7.457093677,7.32932247,-7.32932247
1,33,Baseline,5,0,0,CCW,2.400934521,3.009810396,-3.009810396
1,33,Baseline,6,0,0,CCW,-3.294345296,-3.325299576,3.325299576
1,33,Baseline,7,0,0,CCW,0.730986772,0.964804836,-0.964804836
1,33,Baseline,8,0,0,CCW,-0.782944199,-0.597762042,0.597762042
1,33,Baseline,9,0,0,CCW,4.867836753,4.530024336,-4.530024336
1,33,Baseline,10,0,0,CCW,-1.58107747,-2.166488946,2.166488946
1,34,Baseline,1,0,0,CCW,-1.071011748,-0.47704042,0.47704042
1,34,Baseline,2,0,0,CCW,0.422360053,0.631306258,-0.631306258
1,34,Baseline,3,0,0,CCW,3.342365469,3.282432341,-3.282432341
1,34,Baseline,4,0,0,CCW,0.871167483,0.841914418,-0.841914418
1,34,Baseline,5,0,0,CCW,2.358386321,2.135975125,-2.135975125
1,34,Baseline,6,0,0,CCW,-2.740493606,-2.779838644,2.779838644
1,34,Baseline,7,0,0,CCW,4.74486161,5.057879696,-5.057879696
1,34,Baseline,8,0,0,CCW,2.468140067,2.365985635,-2.365985635
1,34,Baseline,9,0,0,CCW,5.566649049,6.008782183,-6.008782183
1,34,Baseline,10,0,0,CCW,1.624250487,1.786874482,-1.786874482
1,35,Baseline,1,0,0,CCW,1.362369361,0.981305562,-0.981305562
1,35,Baseline,2,0,0,CCW,5.187638858,5.346229757,-5.346229757
1,35,Baseline,3,0,0,CCW,3.31924779,2.961332211,-2.961332211
1,35,Baseline,4,0,0,CCW,-1.942121319,-2.197851372,2.197851372
1,35,Baseline,5,0,0,CCW,2.750416731,2.668745736,-2.668745736
1,35,Baseline,6,0,0,CCW,5.09938911,4.841086787,-4.841086787
1,35,Baseline,7,0,0,CCW,3.414419087,3.353700278,-3.353700278
1,35,Baseline,8,0,0,CCW,4.292387792,4.058600509,-4.058600509
1,35,Baseline,9,0,0,CCW,-0.32361679,-0.542147078,0.542147078
1,35,Baseline,10,0,0,CCW,2.764641331,3.232210909,-3.232210909
1,36,Baseline,1,0,0,CCW,4.53E-05,-0.185130366,0.185130366
1,36,Baseline,2,0,0,CCW,3.641167,4.083874872,-4.083874872
1,36,Baseline,3,0,0,CCW,2.435997972,2.234609844,-2.234609844
1,36,Baseline,4,0,0,CCW,0.663263953,0.318588897,-0.318588897
1,36,Baseline,5,0,0,CCW,2.47821938,2.528769969,-2.528769969
1,36,Baseline,6,0,0,CCW,2.127477797,2.52316935,-2.52316935
1,36,Baseline,7,0,0,CCW,1.629289851,2.172123104,-2.172123104
1,36,Baseline,8,0,0,CCW,-1.52345634,-1.777472049,1.777472049
